time,x,y,z
0.0,-0.010860989999872218,0.024644348516888615,-0.006542644531837944
0.05,-0.023665893087050083,0.05177304046678616,-0.012594244870277662
0.1,-0.03698160968867831,0.07990097211495246,-0.018092100986363165
0.15000000000000002,-0.05068741130274005,0.10740037482429948,-0.02293691233130121
0.2,-0.06507340952501307,0.13398174732912288,-0.028430424102840707
0.25,-0.07989185665533106,0.1611633085224052,-0.0358192152998895
0.30000000000000004,-0.09525396738051886,0.1863487950421534,-0.04537056432821473
0.35000000000000003,-0.10902325700868987,0.2102438403102287,-0.055293513604657854
0.4,-0.12190614644605322,0.2323187227205578,-0.06627677680631278
0.45,-0.1354290128929843,0.25546509519587746,-0.07540415758443592
0.5,-0.15126329282134257,0.2764348793925903,-0.08300722501095087
0.55,-0.16678726404738894,0.29866889958738546,-0.09065195667673787
0.6000000000000001,-0.1818557262887596,0.31894501602044706,-0.09810167163454662
0.65,-0.1984163868979446,0.3413219917216066,-0.10785938751164016
0.7000000000000001,-0.2154705061752162,0.364949149983227,-0.11668152809244217
0.75,-0.23122245899175467,0.3893000731736455,-0.12714444778550374
0.8,-0.24620377159320825,0.41262003171221096,-0.1394630599728878
0.8500000000000001,-0.25904077927699765,0.43741795926563004,-0.1519684104818585
0.9,-0.27217248044509446,0.46150996283559975,-0.16690048786027917
0.9500000000000001,-0.28610595344929923,0.4863322713376211,-0.18133782157799383
1.0,-0.30104634154543164,0.5126986862270863,-0.19580761521017515
1.05,-0.31418932984244546,0.53859058780437,-0.21069917522832632
1.1,-0.3280124951986793,0.5635857027062728,-0.22642578902426602
1.1500000000000001,-0.3420108398692798,0.5883412989670146,-0.2423170774827968
1.2000000000000002,-0.3570500886336612,0.6127763474511628,-0.2572732346732234
1.25,-0.3708658018812447,0.6385189312646551,-0.27128714111170016
1.3,-0.3858575477102827,0.6622534269208553,-0.28432986908374314
1.35,-0.39943816777496216,0.687427771471582,-0.2979505815815994
1.4000000000000001,-0.4105702943450355,0.7133878158645396,-0.3128608939912415
1.4500000000000002,-0.42285576513762635,0.7389051199596121,-0.32584769477685555
1.5,-0.4371380416430724,0.7649946155809529,-0.3370081496219644
1.55,-0.4493879552155769,0.7889372786295307,-0.3459136902487024
1.6,-0.46287675325070793,0.8135756324003206,-0.3564769939594526
1.6500000000000001,-0.47641746394547885,0.8401535318130605,-0.3664474037584769
1.7000000000000002,-0.48990733221744714,0.8665623163241087,-0.3777390764939189
1.75,-0.5038371805614635,0.8954576792919978,-0.38934928059490964
1.8,-0.5185808116477932,0.9242652916365572,-0.3993341889253049
1.85,-0.5314300395403123,0.9553713904183644,-0.41096299750530924
1.9000000000000001,-0.5453770448939684,0.9862787517683754,-0.42410375709492765
1.9500000000000002,-0.5582171769608093,1.016617765671763,-0.4370387702643418
2.0,-0.5693068647889348,1.0472618686368504,-0.44980540441917355
2.0500000000000003,-0.5814166803861546,1.0795738038516096,-0.46252891808347757
2.1,-0.5941683455745174,1.1117311641021077,-0.4765021582038203
2.15,-0.6057274161707206,1.145490467656894,-0.4901527021375305
2.2,-0.619196974904827,1.1800690903349227,-0.5048201987920149
2.25,-0.6309201356425567,1.2136671053125445,-0.5213701705187909
2.3000000000000003,-0.6428910529324037,1.2464756793791054,-0.5388784200958024
2.35,-0.655628621464454,1.2811884718175712,-0.5581398733202954
